AssignmentID,DueDate,AssignmentTypeID,SectionID,PromptTitle1,PromptTitle2,PromptTitle3,PromptTitle4,PromptTitle5,PromptTitle6,PromptTitle7,PossiblePoints1,PossiblePoints2,PossiblePoints3,PossiblePoints4,PossiblePoints5,PossiblePoints6,PossiblePoints7
899,10/30/2023 11:59 PM,Q,809,"Cell phones at school","Grades for extracurricular activities","Mandatory extracurricular activities","Driverless cars","Car-free cities","Distance learning","Facial action coding system",4,4,4,4,4,4,6
785,11/13/2023 11:59 PM,E,809,"Facial action coding system","Does the electoral college work?","Seeking multiple opinions","Community service","Driverless cars","Exploring Venus","The Face on Mars",7,7,7,7,7,7,8
416,11/27/2023 11:59 PM,H,809,"Seeking multiple opinions","Car-free cities","Summer projects","Community service","Cell phones at school","Exploring Venus","Does the electoral college work?",1,1,1,1,1,1,4
672,12/11/2023 11:59 PM,F,809,"Seeking multiple opinions","Driverless cars","Does the electoral college work?","Summer projects","Facial action coding system","Exploring Venus","A Cowboy Who Rode the Waves",14,14,14,14,14,14,16
764,09/18/2023 11:59 PM,H,812,"Does the electoral college work?","Exploring Venus","Car-free cities","Seeking multiple opinions","Mandatory extracurricular activities","Driverless cars","Phones and driving",1,1,1,1,1,1,4
161,10/02/2023 11:59 PM,Q,812,"Grades for extracurricular activities","Summer projects","Driverless cars","Exploring Venus","Seeking multiple opinions","The Face on Mars","Mandatory extracurricular activities",4,4,4,4,4,4,6
914,10/16/2023 11:59 PM,H,812,"Distance learning","Grades for extracurricular activities","A Cowboy Who Rode the Waves","Car-free cities","Cell phones at school","Summer projects","Phones and driving",1,1,1,1,1,1,4
272,10/30/2023 11:59 PM,Q,812,"Summer projects","Driverless cars","A Cowboy Who Rode the Waves","Distance learning","Does the electoral college work?","Phones and driving","The Face on Mars",4,4,4,4,4,4,6
107,11/13/2023 11:59 PM,E,812,"Distance learning","Summer projects","Seeking multiple opinions","Does the electoral college work?","The Face on Mars","Community service","Cell phones at school",7,7,7,7,7,7,8
367,11/27/2023 11:59 PM,H,812,"Distance learning","Seeking multiple opinions","Does the electoral college work?","Community service","A Cowboy Who Rode the Waves","Cell phones at school","Car-free cities",1,1,1,1,1,1,4
400,12/11/2023 11:59 PM,F,812,"Distance learning","Phones and driving","Grades for extracurricular activities","Mandatory extracurricular activities","Car-free cities","Facial action coding system","A Cowboy Who Rode the Waves",14,14,14,14,14,14,16
470,09/18/2023 11:59 PM,H,291,"Distance learning","The Face on Mars","Grades for extracurricular activities","Facial action coding system","Exploring Venus","Community service","Driverless cars",1,1,1,1,1,1,4
311,10/02/2023 11:59 PM,Q,291,"Does the electoral college work?","Cell phones at school","Driverless cars","Grades for extracurricular activities","Summer projects","Facial action coding system","Exploring Venus",4,4,4,4,4,4,6
126,10/16/2023 11:59 PM,H,291,"Does the electoral college work?","Seeking multiple opinions","A Cowboy Who Rode the Waves","Community service","Grades for extracurricular activities","Mandatory extracurricular activities","Facial action coding system",1,1,1,1,1,1,4
846,10/30/2023 11:59 PM,Q,291,"Exploring Venus","The Face on Mars","Distance learning","Car-free cities","Phones and driving","Community service","Mandatory extracurricular activities",4,4,4,4,4,4,6
963,11/13/2023 11:59 PM,E,291,"Cell phones at school","Distance learning","Community service","Phones and driving","Grades for extracurricular activities","Car-free cities","Summer projects",7,7,7,7,7,7,8
364,11/27/2023 11:59 PM,H,291,"Summer projects","Community service","Cell phones at school","Grades for extracurricular activities","Phones and driving","Exploring Venus","Car-free cities",1,1,1,1,1,1,4
876,12/11/2023 11:59 PM,F,291,"Mandatory extracurricular activities","Seeking multiple opinions","A Cowboy Who Rode the Waves","Facial action coding system","Car-free cities","Does the electoral college work?","Summer projects",14,14,14,14,14,14,16
548,09/18/2023 11:59 PM,H,834,"Phones and driving","Community service","Car-free cities","Cell phones at school","Seeking multiple opinions","Does the electoral college work?","Mandatory extracurricular activities",1,1,1,1,1,1,4
667,10/02/2023 11:59 PM,Q,834,"Does the electoral college work?","The Face on Mars","Driverless cars","Mandatory extracurricular activities","Cell phones at school","Grades for extracurricular activities","Car-free cities",4,4,4,4,4,4,6
744,10/16/2023 11:59 PM,H,834,"Mandatory extracurricular activities","Grades for extracurricular activities","Car-free cities","Phones and driving","A Cowboy Who Rode the Waves","Exploring Venus","Driverless cars",1,1,1,1,1,1,4
713,10/30/2023 11:59 PM,Q,834,"A Cowboy Who Rode the Waves","Car-free cities","Phones and driving","Driverless cars","Seeking multiple opinions","The Face on Mars","Summer projects",4,4,4,4,4,4,6
212,11/13/2023 11:59 PM,E,834,"Driverless cars","Summer projects","Community service","Distance learning","A Cowboy Who Rode the Waves","Does the electoral college work?","Car-free cities",7,7,7,7,7,7,8
186,11/27/2023 11:59 PM,H,834,"Exploring Venus","Facial action coding system","Mandatory extracurricular activities","Distance learning","Car-free cities","Phones and driving","A Cowboy Who Rode the Waves",1,1,1,1,1,1,4
274,12/11/2023 11:59 PM,F,834,"A Cowboy Who Rode the Waves","Phones and driving","Grades for extracurricular activities","Driverless cars","Exploring Venus","Seeking multiple opinions","Car-free cities",14,14,14,14,14,14,16
604,01/22/2025 11:59 PM,H,909,"Mandatory extracurricular activities","A Cowboy Who Rode the Waves","Phones and driving","Summer projects","Grades for extracurricular activities","Distance learning","Seeking multiple opinions",1,1,1,1,1,1,4
397,02/05/2025 11:59 PM,Q,909,"Cell phones at school","Does the electoral college work?","A Cowboy Who Rode the Waves","Facial action coding system","Exploring Venus","Driverless cars","Seeking multiple opinions",4,4,4,4,4,4,6
355,02/19/2025 11:59 PM,H,909,"A Cowboy Who Rode the Waves","Summer projects","Grades for extracurricular activities","Facial action coding system","Phones and driving","Distance learning","Driverless cars",1,1,1,1,1,1,4
755,03/05/2025 11:59 PM,Q,909,"Grades for extracurricular activities","Seeking multiple opinions","Facial action coding system","Distance learning","Car-free cities","Community service","Summer projects",4,4,4,4,4,4,6
519,03/19/2025 11:59 PM,E,909,"Phones and driving","Summer projects","Community service","A Cowboy Who Rode the Waves","Grades for extracurricular activities","Does the electoral college work?","Exploring Venus",7,7,7,7,7,7,8
387,04/02/2025 11:59 PM,H,909,"Phones and driving","Driverless cars","Summer projects","Mandatory extracurricular activities","Does the electoral college work?","Exploring Venus","The Face on Mars",1,1,1,1,1,1,4
423,04/16/2025 11:59 PM,F,909,"Exploring Venus","Summer projects","Cell phones at school","Distance learning","A Cowboy Who Rode the Waves","Facial action coding system","Driverless cars",14,14,14,14,14,14,16
337,01/22/2025 11:59 PM,H,805,"Phones and driving","Driverless cars","Exploring Venus","A Cowboy Who Rode the Waves","Mandatory extracurricular activities","Summer projects","Car-free cities",1,1,1,1,1,1,4
456,02/05/2025 11:59 PM,Q,805,"Mandatory extracurricular activities","Does the electoral college work?","Cell phones at school","Driverless cars","Seeking multiple opinions","Exploring Venus","Facial action coding system",4,4,4,4,4,4,6
904,02/19/2025 11:59 PM,H,805,"The Face on Mars","Driverless cars","Mandatory extracurricular activities","Does the electoral college work?","Summer projects","A Cowboy Who Rode the Waves","Community service",1,1,1,1,1,1,4
644,03/05/2025 11:59 PM,Q,805,"Facial action coding system","Mandatory extracurricular activities","Phones and driving","Cell phones at school","Driverless cars","Exploring Venus","A Cowboy Who Rode the Waves",4,4,4,4,4,4,6
100,03/19/2025 11:59 PM,E,805,"Phones and driving","Cell phones at school","Mandatory extracurricular activities","Facial action coding system","Driverless cars","Car-free cities","A Cowboy Who Rode the Waves",7,7,7,7,7,7,8
909,04/02/2025 11:59 PM,H,805,"Mandatory extracurricular activities","A Cowboy Who Rode the Waves","Facial action coding system","Driverless cars","Phones and driving","Seeking multiple opinions","The Face on Mars",1,1,1,1,1,1,4
613,04/16/2025 11:59 PM,F,805,"Facial action coding system","Seeking multiple opinions","Summer projects","Car-free cities","Exploring Venus","Community service","Driverless cars",14,14,14,14,14,14,16
250,01/22/2025 11:59 PM,H,144,"Grades for extracurricular activities","Phones and driving","Community service","Does the electoral college work?","A Cowboy Who Rode the Waves","Distance learning","Exploring Venus",1,1,1,1,1,1,4
760,02/05/2025 11:59 PM,Q,144,"A Cowboy Who Rode the Waves","Distance learning","Summer projects","Facial action coding system","Does the electoral college work?","Cell phones at school","Seeking multiple opinions",4,4,4,4,4,4,6
375,02/19/2025 11:59 PM,H,144,"Does the electoral college work?","Mandatory extracurricular activities","Summer projects","Distance learning","Car-free cities","Facial action coding system","Cell phones at school",1,1,1,1,1,1,4
500,03/05/2025 11:59 PM,Q,144,"Mandatory extracurricular activities","Car-free cities","Driverless cars","Grades for extracurricular activities","The Face on Mars","Facial action coding system","Exploring Venus",4,4,4,4,4,4,6
293,03/19/2025 11:59 PM,E,144,"Facial action coding system","Phones and driving","Seeking multiple opinions","Car-free cities","Distance learning","Mandatory extracurricular activities","Driverless cars",7,7,7,7,7,7,8
664,04/02/2025 11:59 PM,H,144,"Exploring Venus","Does the electoral college work?","Phones and driving","Seeking multiple opinions","Distance learning","Summer projects","Grades for extracurricular activities",1,1,1,1,1,1,4
164,04/16/2025 11:59 PM,F,144,"Exploring Venus","Summer projects","Community service","Phones and driving","Mandatory extracurricular activities","The Face on Mars","Grades for extracurricular activities",14,14,14,14,14,14,16
